Make,Model,events,total_fatal,total_casualties,total_uninjured,most_common_injury,denom,fatality_rate,survival_rate
Piper,PA-32R-301T,59,35.0,63.0,80.0,Non-Fatal,143.0,0.24475524475524477,0.7552447552447552
Piper,PA-32RT-300,46,37.0,77.0,61.0,Non-Fatal,138.0,0.26811594202898553,0.7318840579710144
Piper,PA-32RT-300T,56,25.0,68.0,62.0,Non-Fatal,130.0,0.19230769230769232,0.8076923076923077
Piper,PA-34,20,15.0,17.0,43.0,Non-Fatal,60.0,0.25,0.75
Piper,PA-34-200,95,32.0,67.0,181.0,Non-Fatal,248.0,0.12903225806451613,0.8709677419354839
Piper,PA-34-200T,145,55.0,117.0,282.0,Non-Fatal,399.0,0.13784461152882205,0.8621553884711779
Piper,PA-34-220T,50,34.0,48.0,76.0,Non-Fatal,124.0,0.27419354838709675,0.7258064516129032
Piper,PA-36,23,4.0,10.0,13.0,Non-Fatal,23.0,0.17391304347826086,0.8260869565217391
Piper,PA-36-285,25,3.0,9.0,16.0,Non-Fatal,25.0,0.12,0.88
Piper,PA-36-300,25,4.0,11.0,14.0,Non-Fatal,25.0,0.16,0.84
Piper,PA-36-375,22,9.0,14.0,12.0,Non-Fatal,26.0,0.34615384615384615,0.6538461538461539
Piper,PA-38,54,4.0,16.0,68.0,Non-Fatal,84.0,0.047619047619047616,0.9523809523809523
Piper,PA-38-112,434,79.0,204.0,477.0,Non-Fatal,681.0,0.11600587371512482,0.8839941262848752
Piper,PA-44-180,73,34.0,42.0,277.0,Non-Fatal,319.0,0.10658307210031348,0.8934169278996865
Piper,PA-46-310P,55,35.0,71.0,81.0,Non-Fatal,152.0,0.23026315789473684,0.7697368421052632
Piper,PA-46-350P,42,20.0,38.0,61.0,Non-Fatal,99.0,0.20202020202020202,0.797979797979798
Piper,PA18,55,2.0,15.0,61.0,Non-Fatal,76.0,0.02631578947368421,0.9736842105263158
Piper,PA22,22,1.0,13.0,20.0,Non-Fatal,33.0,0.030303030303030304,0.9696969696969697
Piper,PA28,90,23.0,65.0,99.0,Non-Fatal,164.0,0.1402439024390244,0.8597560975609756
Piper,PA28-140,28,7.0,25.0,25.0,Non-Fatal,50.0,0.14,0.86
Piper,PA28R,32,7.0,23.0,44.0,Non-Fatal,67.0,0.1044776119402985,0.8955223880597015
Piper,PA32,32,19.0,42.0,43.0,Non-Fatal,85.0,0.2235294117647059,0.7764705882352941
Piper,PA46,21,6.0,18.0,47.0,Non-Fatal,65.0,0.09230769230769231,0.9076923076923077
Pitts,S-2B,26,10.0,20.0,31.0,Non-Fatal,51.0,0.19607843137254902,0.803921568627451
ROBINSON,R22,58,37.0,55.0,34.0,Non-Fatal,89.0,0.4157303370786517,0.5842696629213483
ROBINSON,R44,131,138.0,216.0,71.0,Fatal,287.0,0.4808362369337979,0.519163763066202
ROBINSON,R66,22,17.0,26.0,10.0,Fatal,36.0,0.4722222222222222,0.5277777777777778
ROBINSON HELICOPTER,R22,21,0.0,10.0,26.0,Non-Fatal,36.0,0.0,1.0
ROBINSON HELICOPTER,R22 BETA,109,17.0,77.0,106.0,Non-Fatal,183.0,0.09289617486338798,0.907103825136612
ROBINSON HELICOPTER,R44,73,17.0,60.0,85.0,Non-Fatal,145.0,0.11724137931034483,0.8827586206896552
