Make,Model,events,total_fatal,total_casualties,total_uninjured,most_common_injury,denom,fatality_rate,survival_rate
Schweizer,SGS-2-33A,20,0.0,11.0,19.0,Non-Fatal,30.0,0.0,1.0
Stinson,108,60,5.0,44.0,60.0,Non-Fatal,104.0,0.04807692307692308,0.9519230769230769
Stinson,108-1,73,6.0,28.0,110.0,Non-Fatal,138.0,0.043478260869565216,0.9565217391304348
Stinson,108-2,75,18.0,60.0,83.0,Non-Fatal,143.0,0.1258741258741259,0.8741258741258742
Stinson,108-3,82,13.0,65.0,88.0,Non-Fatal,153.0,0.08496732026143791,0.9150326797385621
Swearingen,SA226TC,24,3.0,5.0,193.0,Non-Fatal,198.0,0.015151515151515152,0.9848484848484849
Taylorcraft,BC-12D,41,6.0,30.0,34.0,Non-Fatal,64.0,0.09375,0.90625
Taylorcraft,BC12-D,102,24.0,86.0,74.0,Non-Fatal,160.0,0.15,0.85
Unknown,Unknown,45,50.0,80.0,793.0,Non-Fatal,873.0,0.0572737686139748,0.9427262313860252
Waco,UPF-7,39,6.0,29.0,58.0,Non-Fatal,87.0,0.06896551724137931,0.9310344827586207
Weatherly,201B,26,1.0,12.0,15.0,Non-Fatal,27.0,0.037037037037037035,0.962962962962963
Wsk Pzl Mielec,M-18A,25,5.0,12.0,13.0,Non-Fatal,25.0,0.2,0.8
